device,start,end,condition,ref_datetime,id
3b8bb733,2020-02-23_00-00-00,2020-03-01_13-00-00,DD,2020-02-24T17:00:00Z,3b8bb733.2020-02-23_00-00-00.2020-03-01_13-00-00
3b8bb733,2020-03-01_00-00-00,2020-03-08_13-00-00,LD,2020-03-02T17:00:00Z,3b8bb733.2020-03-01_00-00-00.2020-03-08_13-00-00
3b8bb733,2020-03-08_00-00-00,2020-03-15_13-00-00,DD,2020-03-09T17:00:00Z,3b8bb733.2020-03-08_00-00-00.2020-03-15_13-00-00
7168f343,2020-02-23_00-00-00,2020-03-01_13-00-00,LD,2020-02-24T17:00:00Z,7168f343.2020-02-23_00-00-00.2020-03-01_13-00-00
7168f343,2020-03-01_00-00-00,2020-03-08_13-00-00,DD,2020-03-02T17:00:00Z,7168f343.2020-03-01_00-00-00.2020-03-08_13-00-00
7168f343,2020-03-08_00-00-00,2020-03-15_13-00-00,LD,2020-03-09T17:00:00Z,7168f343.2020-03-08_00-00-00.2020-03-15_13-00-00
b5b9596f,2020-02-23_00-00-00,2020-03-01_13-00-00,DD,2020-02-24T17:00:00Z,b5b9596f.2020-02-23_00-00-00.2020-03-01_13-00-00
b5b9596f,2020-03-01_00-00-00,2020-03-08_13-00-00,DD,2020-03-02T17:00:00Z,b5b9596f.2020-03-01_00-00-00.2020-03-08_13-00-00
b5b9596f,2020-03-08_00-00-00,2020-03-15_13-00-00,DD,2020-03-09T17:00:00Z,b5b9596f.2020-03-08_00-00-00.2020-03-15_13-00-00
e843292f,2020-02-23_00-00-00,2020-03-01_13-00-00,LD,2020-02-24T17:00:00Z,e843292f.2020-02-23_00-00-00.2020-03-01_13-00-00
e843292f,2020-03-01_00-00-00,2020-03-08_13-00-00,LD,2020-03-02T17:00:00Z,e843292f.2020-03-01_00-00-00.2020-03-08_13-00-00
e843292f,2020-03-08_00-00-00,2020-03-15_13-00-00,LD,2020-03-09T17:00:00Z,e843292f.2020-03-08_00-00-00.2020-03-15_13-00-00
